"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7945","search()","","2025-12-05","broken","2025-12-05","","iscteiul.ista.projetopiloto.MainPageTest","iscteiul.ista.projetopiloto.MainPageTest","search"
"","5264","shouldAccessDataInputAndTypeValue()","","2025-12-05","passed","2025-12-05","","TestSuite6.DataInputAcceptanceTest","TestSuite6.DataInputAcceptanceTest","shouldAccessDataInputAndTypeValue"
"","671","shouldSetAndReadPasswordValue()","","2025-12-05","passed","2025-12-05","","TestSuite6.tests.PasswordFieldAcceptanceTest","TestSuite6.tests.PasswordFieldAcceptanceTest","shouldSetAndReadPasswordValue"
"","4143","testUploadInvalidFilePath()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.projetopiloto.pages.complex.FileUploadTest","iscteiul.ista.projetopiloto.pages.complex.FileUploadTest","testUploadInvalidFilePath"
"","6301","navigationToAllTools()","","2025-12-05","broken","2025-12-05","","iscteiul.ista.projetopiloto.MainPageTest","iscteiul.ista.projetopiloto.MainPageTest","navigationToAllTools"
"","6341","toolsMenu()","","2025-12-05","broken","2025-12-05","","iscteiul.ista.projetopiloto.MainPageTest","iscteiul.ista.projetopiloto.MainPageTest","toolsMenu"
"","4645","testUploadEmptyFile()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.projetopiloto.pages.complex.FileUploadTest","iscteiul.ista.projetopiloto.pages.complex.FileUploadTest","testUploadEmptyFile"
"","4671","testFileUpload()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.projetopiloto.pages.complex.FileUploadTest","iscteiul.ista.projetopiloto.pages.complex.FileUploadTest","testFileUpload"
"","826","shouldSetAndReadPasswordValue()","","2025-12-05","passed","2025-12-05","","TestSuite6.PasswordFieldAcceptanceTest","TestSuite6.PasswordFieldAcceptanceTest","shouldSetAndReadPasswordValue"
"","4189","testSubmitButtonEnabledBeforeUpload()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.projetopiloto.pages.complex.FileUploadTest","iscteiul.ista.projetopiloto.pages.complex.FileUploadTest","testSubmitButtonEnabledBeforeUpload"
"","5686","shouldAccessDataInputAndTypeValue()","","2025-12-05","passed","2025-12-05","","TestSuite6.tests.DataInputAcceptanceTest","TestSuite6.tests.DataInputAcceptanceTest","shouldAccessDataInputAndTypeValue"
